data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-07-26T21:30:00Z,17,Fortaleza EC,RB Bragantino,3,1,FINISHED
2025-07-26T21:30:00Z,17,SC Recife,Santos FC,2,2,FINISHED
2025-07-27T00:00:00Z,17,SE Palmeiras,Grêmio FBPA,1,0,FINISHED
2025-07-27T19:00:00Z,17,São Paulo FC,Fluminense FC,3,1,FINISHED
2025-07-27T19:00:00Z,17,Cruzeiro EC,Ceará SC,1,2,FINISHED
2025-07-27T21:30:00Z,17,SC Internacional,CR Vasco da Gama,1,1,FINISHED
2025-07-27T21:30:00Z,17,EC Bahia,EC Juventude,3,0,FINISHED
2025-07-27T23:30:00Z,17,CR Flamengo,CA Mineiro,1,0,FINISHED
2025-07-29T23:30:00Z,14,Grêmio FBPA,Fortaleza EC,2,1,FINISHED
2025-08-02T19:00:00Z,18,SC Recife,EC Bahia,0,0,FINISHED
2025-08-02T21:30:00Z,18,Mirassol FC,CR Vasco da Gama,3,2,FINISHED
2025-08-03T00:00:00Z,18,Fluminense FC,Grêmio FBPA,1,0,FINISHED
2025-08-03T19:00:00Z,18,Botafogo FR,Cruzeiro EC,0,2,FINISHED
2025-08-03T19:00:00Z,18,SC Corinthians Paulista,Fortaleza EC,1,1,FINISHED
2025-08-03T21:30:00Z,18,CA Mineiro,RB Bragantino,2,1,FINISHED
2025-08-03T21:30:00Z,18,Ceará SC,CR Flamengo,1,1,FINISHED
2025-08-03T22:30:00Z,18,EC Vitória,SE Palmeiras,2,2,FINISHED
2025-08-03T23:30:00Z,18,SC Internacional,São Paulo FC,1,2,FINISHED
2025-08-04T23:00:00Z,18,Santos FC,EC Juventude,3,1,FINISHED
2025-08-09T21:30:00Z,19,CR Flamengo,Mirassol FC,2,1,FINISHED
2025-08-09T21:30:00Z,19,São Paulo FC,EC Vitória,2,0,FINISHED
2025-08-09T21:30:00Z,19,RB Bragantino,SC Internacional,1,3,FINISHED
2025-08-09T23:30:00Z,19,Fortaleza EC,Botafogo FR,0,5,FINISHED
2025-08-10T00:00:00Z,19,EC Bahia,Fluminense FC,3,3,FINISHED
2025-08-10T19:00:00Z,19,CR Vasco da Gama,CA Mineiro,1,1,FINISHED
2025-08-10T19:00:00Z,19,SE Palmeiras,Ceará SC,2,1,FINISHED
2025-08-10T21:30:00Z,19,Cruzeiro EC,Santos FC,1,2,FINISHED
2025-08-10T23:30:00Z,19,Grêmio FBPA,SC Recife,0,1,FINISHED
2025-08-11T23:00:00Z,19,EC Juventude,SC Corinthians Paulista,2,1,FINISHED
2025-08-16T19:00:00Z,20,Fluminense FC,Fortaleza EC,2,1,FINISHED
2025-08-16T19:00:00Z,20,Ceará SC,RB Bragantino,1,0,FINISHED
2025-08-16T21:30:00Z,20,EC Vitória,EC Juventude,2,2,FINISHED
2025-08-16T21:30:00Z,20,SC Recife,São Paulo FC,2,2,FINISHED
2025-08-17T00:00:00Z,20,SC Corinthians Paulista,EC Bahia,1,2,FINISHED
2025-08-17T19:00:00Z,20,Santos FC,CR Vasco da Gama,0,6,FINISHED
2025-08-17T19:00:00Z,20,CA Mineiro,Grêmio FBPA,1,3,FINISHED
2025-08-17T21:30:00Z,20,SC Internacional,CR Flamengo,1,3,FINISHED
2025-08-17T23:30:00Z,20,Botafogo FR,SE Palmeiras,0,1,FINISHED
2025-08-18T23:00:00Z,20,Mirassol FC,Cruzeiro EC,1,1,FINISHED
2025-08-20T22:00:00Z,14,EC Juventude,CR Vasco da Gama,2,0,FINISHED
2025-08-23T19:00:00Z,21,RB Bragantino,Fluminense FC,4,2,FINISHED
2025-08-23T21:30:00Z,21,Cruzeiro EC,SC Internacional,2,1,FINISHED
2025-08-24T00:00:00Z,21,Grêmio FBPA,Ceará SC,0,0,FINISHED
2025-08-24T19:00:00Z,21,CR Vasco da Gama,SC Corinthians Paulista,2,3,FINISHED
2025-08-24T19:00:00Z,21,EC Bahia,Santos FC,2,0,FINISHED
2025-08-24T21:30:00Z,21,Fortaleza EC,Mirassol FC,0,1,FINISHED
2025-08-24T21:30:00Z,21,EC Juventude,Botafogo FR,1,3,FINISHED
2025-08-24T23:30:00Z,21,São Paulo FC,CA Mineiro,2,0,FINISHED
2025-08-25T22:00:00Z,21,SE Palmeiras,SC Recife,3,0,FINISHED
2025-08-26T00:00:00Z,21,CR Flamengo,EC Vitória,8,0,FINISHED
2025-08-30T19:00:00Z,22,Ceará SC,EC Juventude,0,1,FINISHED
2025-08-30T21:30:00Z,22,Botafogo FR,RB Bragantino,4,1,FINISHED
2025-08-31T00:00:00Z,22,Cruzeiro EC,São Paulo FC,1,0,FINISHED
2025-08-31T19:00:00Z,22,CR Flamengo,Grêmio FBPA,1,1,FINISHED
2025-08-31T19:00:00Z,22,Santos FC,Fluminense FC,0,0,FINISHED
2025-08-31T21:30:00Z,22,SC Corinthians Paulista,SE Palmeiras,1,1,FINISHED
2025-08-31T21:30:00Z,22,Mirassol FC,EC Bahia,5,1,FINISHED
2025-08-31T21:30:00Z,22,EC Vitória,CA Mineiro,1,0,FINISHED
2025-08-31T23:30:00Z,22,SC Internacional,Fortaleza EC,2,1,FINISHED
2025-08-31T23:30:00Z,22,SC Recife,CR Vasco da Gama,2,3,FINISHED
2025-09-13T19:00:00Z,23,Grêmio FBPA,Mirassol FC,0,1,FINISHED
2025-09-13T19:00:00Z,23,Fortaleza EC,EC Vitória,2,0,FINISHED
2025-09-13T21:30:00Z,23,SE Palmeiras,SC Internacional,4,1,FINISHED
2025-09-14T00:00:00Z,23,Fluminense FC,SC Corinthians Paulista,0,1,FINISHED
2025-09-14T14:00:00Z,23,RB Bragantino,SC Recife,1,1,FINISHED
2025-09-14T19:00:00Z,23,CA Mineiro,Santos FC,1,1,FINISHED
2025-09-14T19:00:00Z,23,EC Juventude,CR Flamengo,0,2,FINISHED
2025-09-14T20:30:00Z,23,São Paulo FC,Botafogo FR,1,0,FINISHED
2025-09-14T23:30:00Z,23,CR Vasco da Gama,Ceará SC,2,2,FINISHED
2025-09-15T23:00:00Z,23,EC Bahia,Cruzeiro EC,1,2,FINISHED
2025-09-17T22:30:00Z,12,Botafogo FR,Mirassol FC,3,3,FINISHED
2025-09-20T19:00:00Z,24,EC Vitória,Fluminense FC,0,1,FINISHED
2025-09-20T21:30:00Z,24,Botafogo FR,CA Mineiro,1,0,FINISHED
2025-09-20T21:30:00Z,24,Ceará SC,EC Bahia,1,1,FINISHED
2025-09-21T00:00:00Z,24,SE Palmeiras,Fortaleza EC,4,1,FINISHED
